n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
2.481720972097209856e+18,7.231468257389252585e+01,8.039839080178799438e+10,1.107967612783807665e+08,5.715911073963798285e+08,7.374485466829045777e+01,8.932468292012561035e+10,3.886692242795795210e+03,9.188387520204344764e+04
2.482020902090209280e+18,7.231175793280705477e+01,8.041296614141419983e+10,1.108163612093770504e+08,5.716947305464771986e+08,7.374188408926885074e+01,8.932468292012561035e+10,3.886465508226849579e+03,9.190053273304483446e+04
2.482320832083208192e+18,7.230883375978558547e+01,8.042754236171667480e+10,1.108359622766468674e+08,5.717983599577281475e+08,7.373891398883178283e+01,8.932468292012561035e+10,3.886238813239847332e+03,9.191719127053333796e+04
2.482620762076207616e+18,7.230591005469749177e+01,8.044211946264215088e+10,1.108555644801258296e+08,5.719019956297550201e+08,7.373594436684435038e+01,8.932468292012561035e+10,3.886012157823302459e+03,9.193385081444816024e+04
2.482920692069207040e+18,7.230298681741209066e+01,8.045669744413740540e+10,1.108751678197463304e+08,5.720056375621794462e+08,7.373297522317166397e+01,8.932468292012561035e+10,3.885785541965729408e+03,9.195051136472850339e+04
2.483220622062206464e+18,7.230006404779888385e+01,8.047127630614936829e+10,1.108947722954364717e+08,5.721092857546229362e+08,7.373000655767893363e+01,8.932468292012561035e+10,3.885558965655663087e+03,9.196717292131359864e+04
2.483520552055205376e+18,7.229714174572737306e+01,8.048585604862471008e+10,1.109143779071347415e+08,5.722129402067075968e+08,7.372703837023142626e+01,8.932468292012561035e+10,3.885332428881628402e+03,9.198383548414254619e+04
2.483820482048204800e+18,7.229421991106708845e+01,8.050043667151039124e+10,1.109339846547698528e+08,5.723166009180556536e+08,7.372407066069442294e+01,8.932468292012561035e+10,3.885105931632159354e+03,9.200049905315472279e+04
2.484120412041204224e+18,7.229129854368760277e+01,8.051501817475323486e+10,1.109535925382773727e+08,5.724202678882889748e+08,7.372110342893324741e+01,8.932468292012561035e+10,3.884879473895795400e+03,9.201716362828938873e+04
2.484420342034203648e+18,7.228837764345861672e+01,8.052960055830001831e+10,1.109732015575905889e+08,5.725239411170299053e+08,7.371813667481337973e+01,8.932468292012561035e+10,3.884653055661079179e+03,9.203382920948571700e+04
2.484720272027202560e+18,7.228545721024985937e+01,8.054418382209759521e+10,1.109928117126379609e+08,5.726276206039003134e+08,7.371517039820027151e+01,8.932468292012561035e+10,3.884426676916557426e+03,9.205049579668299702e+04
2.485020202020201984e+18,7.228253724393097457e+01,8.055876796609294128e+10,1.110124230033575743e+08,5.727313063485226631e+08,7.371220459895936017e+01,8.932468292012561035e+10,3.884200337650785514e+03,9.206716338982051820e+04
2.485320132013201408e+18,7.227961774437187614e+01,8.057335299023291016e+10,1.110320354296784848e+08,5.728349983505194187e+08,7.370923927695631050e+01,8.932468292012561035e+10,3.883974037852319725e+03,9.208383198883759906e+04
2.485620062006200832e+18,7.227669871144236424e+01,8.058793889446429443e+10,1.110516489915357679e+08,5.729386966095129251e+08,7.370627443205668783e+01,8.932468292012561035e+10,3.883747777509719526e+03,9.210050159367351444e+04
2.485919991999199744e+18,7.227378014501239534e+01,8.060252567873416138e+10,1.110712636888638139e+08,5.730424011251254082e+08,7.370331006412621377e+01,8.932468292012561035e+10,3.883521556611556662e+03,9.211717220426761196e+04
2.486219921992199168e+18,7.227086204495189747e+01,8.061711334298925781e+10,1.110908795215886384e+08,5.731461118969798088e+08,7.370034617303060998e+01,8.932468292012561035e+10,3.883295375146397873e+03,9.213384382055919559e+04
