n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
2.451727972797279744e+18,7.260974985244830293e+01,7.894531343248069763e+10,1.088425179653216898e+08,5.612604764674272537e+08,7.404457826286771649e+01,7.675565396747806517e+02,3.909567581174618226e+03,9.022321535140655760e+04
2.452027902790279168e+18,7.260677771834865268e+01,7.895980043412530518e+10,1.088620039271838516e+08,5.613634715800195932e+08,7.404155911622969199e+01,7.675551945252086625e+02,3.909336829605365438e+03,9.023977192471464514e+04
2.452327832783278592e+18,7.260380606564950767e+01,7.897428832181587219e+10,1.088814910321092457e+08,5.614664729919422865e+08,7.403854046195080230e+01,7.675538497046711655e+02,3.909106118790407891e+03,9.025632951064668305e+04
2.452627762776277504e+18,7.260083489421488423e+01,7.898877709549829102e+10,1.089009792800268084e+08,5.615694807028100491e+08,7.403552229989058731e+01,7.675525052130478798e+02,3.908875448717793915e+03,9.027288810914086935e+04
2.452927692769276928e+18,7.259786420390886974e+01,7.900326675511837769e+10,1.089204686708645970e+08,5.616724947122380733e+08,7.403250462990860115e+01,7.675511610502181838e+02,3.908644819375556835e+03,9.028944772013528564e+04
2.453227622762276352e+18,7.259489399459556580e+01,7.901775730062199402e+10,1.089399592045592964e+08,5.617755150198410749e+08,7.402948745186444057e+01,7.675498172160614558e+02,3.908414230751747709e+03,9.030600834356801352e+04
2.453527552755275776e+18,7.259192426613913085e+01,7.903224873195497131e+10,1.089594508810412735e+08,5.618785416252340078e+08,7.402647076561780182e+01,7.675484737104569604e+02,3.908183682834423053e+03,9.032256997937713459e+04
2.453827482748274688e+18,7.258895501840379438e+01,7.904674104906309509e+10,1.089789437002407014e+08,5.619815745280318260e+08,7.402345457102840953e+01,7.675471305332846441e+02,3.907953175611634379e+03,9.033913262750068679e+04
2.454127412741274112e+18,7.258598625125384274e+01,7.906123425189231873e+10,1.089984376620885283e+08,5.620846137278499603e+08,7.402043886795604521e+01,7.675457876844235443e+02,3.907722709071446843e+03,9.035569628787692636e+04
2.454427342734273536e+18,7.258301796455363331e+01,7.907572834038853455e+10,1.090179327665209174e+08,5.621876592243034840e+08,7.401742365626058984e+01,7.675444451637536076e+02,3.907492283201927876e+03,9.037226096044403675e+04
2.454727272727272960e+18,7.258005015816752348e+01,7.909022331449754333e+10,1.090374290134630650e+08,5.622907110170075893e+08,7.401440893580191016e+01,7.675431029711547808e+02,3.907261897991151272e+03,9.038882664514002681e+04
2.455027202720271872e+18,7.257708283195992749e+01,7.910471917416523743e+10,1.090569264028497189e+08,5.623937691055774689e+08,7.401139470643997242e+01,7.675417611065062147e+02,3.907031553427187191e+03,9.040539334190313821e+04
2.455327132713271296e+18,7.257411598579541590e+01,7.911921591933755493e+10,1.090764249346155673e+08,5.624968334896287918e+08,7.400838096803482813e+01,7.675404195696883107e+02,3.906801249498125344e+03,9.042196105067152530e+04
2.455627062706270720e+18,7.257114961953851662e+01,7.913371354996046448e+10,1.090959246086882502e+08,5.625999041687769890e+08,7.400536772044652878e+01,7.675390783605806746e+02,3.906570986192051805e+03,9.043852977138341521e+04
2.455926992699270144e+18,7.256818373305377179e+01,7.914821206597982788e+10,1.091154254250005633e+08,5.627029811426376104e+08,7.400235496353516851e+01,7.675377374790630256e+02,3.906340763497055832e+03,9.045509950397696230e+04
2.456226922692269056e+18,7.256521832620595092e+01,7.916271146734155273e+10,1.091349273834835887e+08,5.628060644108259678e+08,7.399934269716101198e+01,7.675363969250156515e+02,3.906110581401232594e+03,9.047167024839033547e+04
2.456526852685268480e+18,7.256225339885966719e+01,7.917721175399165344e+10,1.091544304840709418e+08,5.629091539729583263e+08,7.399633092118423860e+01,7.675350566983187264e+02,3.905880439892685445e+03,9.048824200456187828e+04
2.456826782678267904e+18,7.255928895087977537e+01,7.919171292587608337e+10,1.091739347266928107e+08,5.630122498286499977e+08,7.399331963546519830e+01,7.675337167988521969e+02,3.905650338959525470e+03,9.050481477242978872e+04
2.457126712671267328e+18,7.255632498213104498e+01,7.920621498294067383e+10,1.091934401112815589e+08,5.631153519775170088e+08,7.399030883986421259e+01,7.675323772264961235e+02,3.905420278589854661e+03,9.052138855193222116e+04
2.457426642664266240e+18,7.255336149247837341e+01,7.922071792513154602e+10,1.092129466377668381e+08,5.632184604191749096e+08,7.398729853424171665e+01,7.675310379811309076e+02,3.905190258771795925e+03,9.053796334300749004e+04
2.457726572657265664e+18,7.255039848178668649e+01,7.923522175239466858e+10,1.092324543060820401e+08,5.633215751532402039e+08,7.398428871845820254e+01,7.675296990626366096e+02,3.904960279493468079e+03,9.055453914559389523e+04
2.458026502650265088e+18,7.254743594992096689e+01,7.924972646467594910e+10,1.092519631161606163e+08,5.634246961793285608e+08,7.398127939237414807e+01,7.675283604708939720e+02,3.904730340742994940e+03,9.057111595962966385e+04
2.458326432643264512e+18,7.254447389674629676e+01,7.926423206192146301e+10,1.092714730679314733e+08,5.635278234970563650e+08,7.397827055585021583e+01,7.675270222057828278e+02,3.904500442508512151e+03,9.058769378505315399e+04
2.458626362636263936e+18,7.254151232212771561e+01,7.927873854407723999e+10,1.092909841613286287e+08,5.636309571060395241e+08,7.397526220874698311e+01,7.675256842671840332e+02,3.904270584778151715e+03,9.060427262180253456e+04
2.458926292629262848e+18,7.253855122593039084e+01,7.929324591108921814e+10,1.093104963962815404e+08,5.637340970058941841e+08,7.397225435092515511e+01,7.675243466549783307e+02,3.904040767540055640e+03,9.062085246981628006e+04
2.459226222622262272e+18,7.253559060801954672e+01,7.930775416290348816e+10,1.093300097727238536e+08,5.638372431962370872e+08,7.396924698224552230e+01,7.675230093690456670e+02,3.903810990782364115e+03,9.063743332903258852e+04
2.459526152615261696e+18,7.253263046826043592e+01,7.932226329946607971e+10,1.093495242905861437e+08,5.639403956766844988e+08,7.396624010256888937e+01,7.675216724092673530e+02,3.903581254493233700e+03,9.065401519938981801e+04
2.459826082608261120e+18,7.252967080651836795e+01,7.933677332072305298e+10,1.093690399498017579e+08,5.640435544468526840e+08,7.396323371175613204e+01,7.675203357755234492e+02,3.903351558660816409e+03,9.067059808082632662e+04
2.460126012601260032e+18,7.252671162265866656e+01,7.935128422662039185e+10,1.093885567503033280e+08,5.641467195063581467e+08,7.396022780966812604e+01,7.675189994676949254e+02,3.903121903273270163e+03,9.068718197328050155e+04
2.460425942594259456e+18,7.252375291654681178e+01,7.936579601710435486e+10,1.094080746920187771e+08,5.642498908548178673e+08,7.395722239616590343e+01,7.675176634856629789e+02,3.902892288318763804e+03,9.070376687669071543e+04
2.460725872587258880e+18,7.252079468804824103e+01,7.938030869212084961e+10,1.094275937748821676e+08,5.643530684918482304e+08,7.395421747111049626e+01,7.675163278293077838e+02,3.902662713785462984e+03,9.072035279099526815e+04
2.461025802580258304e+18,7.251783693702850542e+01,7.939482225161608887e+10,1.094471139988272041e+08,5.644562524170660973e+08,7.395121303436299343e+01,7.675149924985109919e+02,3.902433179661545637e+03,9.073693971613264875e+04
2.461325732573257216e+18,7.251487966335318447e+01,7.940933669553599548e+10,1.094666353637829572e+08,5.645594426300878525e+08,7.394820908578455487e+01,7.675136574931532323e+02,3.902203685935186968e+03,9.075352765204114257e+04
2.461625662566256640e+18,7.251192286688787192e+01,7.942385202382688904e+10,1.094861578696830422e+08,5.646626391305310726e+08,7.394520562523636897e+01,7.675123228131154747e+02,3.901974232594571276e+03,9.077011659865931142e+04
2.461925592559256064e+18,7.250896654749831782e+01,7.943836823643479919e+10,1.095056815164574683e+08,5.647658419180121422e+08,7.394220265257973779e+01,7.675109884582788027e+02,3.901744819627887409e+03,9.078670655592549883e+04
2.462225522552255488e+18,7.250601070505022960e+01,7.945288533330583191e+10,1.095252063040421456e+08,5.648690509921485186e+08,7.393920016767593495e+01,7.675096544285248683e+02,3.901515447023331490e+03,9.080329752377812110e+04
2.462525452545254400e+18,7.250305533940941416e+01,7.946740331438615417e+10,1.095447322323655486e+08,5.649722663525569439e+08,7.393619817038637620e+01,7.675083207237343004e+02,3.901286114769099640e+03,9.081988950215562363e+04
2.462825382538253824e+18,7.250010045044170681e+01,7.948192217962191772e+10,1.095642593013580143e+08,5.650754879988547564e+08,7.393319666057247730e+01,7.675069873437884098e+02,3.901056822853396170e+03,9.083648249099651002e+04
2.463125312531253248e+18,7.249714603801304236e+01,7.949644192895936584e+10,1.095837875109563768e+08,5.651787159306592941e+08,7.393019563809572503e+01,7.675056542885687350e+02,3.900827571264429480e+03,9.085307649023926933e+04
2.463425242524252672e+18,7.249419210198936980e+01,7.951096256234449768e+10,1.096033168610893190e+08,5.652819501475875378e+08,7.392719510281769146e+01,7.675043215579565867e+02,3.900598359990409790e+03,9.086967149982230330e+04
2.463725172517251584e+18,7.249123864223666658e+01,7.952548407972355652e+10,1.096228473516901284e+08,5.653851906492569447e+08,7.392419505459993445e+01,7.675029891518337308e+02,3.900369189019557325e+03,9.088626751968414464e+04
2.464025102510251008e+18,7.248828565862106643e+01,7.954000648104284668e+10,1.096423789826912433e+08,5.654884374352852106e+08,7.392119549330418238e+01,7.675016570700812508e+02,3.900140058340094129e+03,9.090286454976323876e+04
2.464325032503250432e+18,7.248533315100864627e+01,7.955452976624845886e+10,1.096619117540226281e+08,5.655916905052897930e+08,7.391819641879207836e+01,7.675003253125810261e+02,3.899910967940243609e+03,9.091946258999822021e+04
2.464624962496249856e+18,7.248238111926553984e+01,7.956905393528660583e+10,1.096814456656163335e+08,5.656949498588880301e+08,7.391519783092540763e+01,7.674989938792140265e+02,3.899681917808240996e+03,9.093606164032757806e+04
2.464924892489248768e+18,7.247942956325805142e+01,7.958357898810351562e+10,1.097009807174071074e+08,5.657982154956976175e+08,7.391219972956604067e+01,7.674976627698630409e+02,3.899452907932324706e+03,9.095266170068972860e+04
2.465224822482248192e+18,7.247647848285241423e+01,7.959810492464546204e+10,1.097205169093253314e+08,5.659014874153364897e+08,7.390920211457581956e+01,7.674963319844090393e+02,3.899223938300734517e+03,9.096926277102342283e+04
2.465524752475247616e+18,7.247352787791497519e+01,7.961263174485867310e+10,1.097400542413035929e+08,5.660047656174223423e+08,7.390620498581668585e+01,7.674950015227335598e+02,3.898995008901715210e+03,9.098586485126700427e+04
2.465824682468247040e+18,7.247057774831212384e+01,7.962715944868931580e+10,1.097595927132733166e+08,5.661080501015729904e+08,7.390320834315066634e+01,7.674936713847191641e+02,3.898766119723519751e+03,9.100246794135919481e+04
2.466124612461245952e+18,7.246762809391032079e+01,7.964168803608369446e+10,1.097791323251681775e+08,5.662113408674061298e+08,7.390021218643977363e+01,7.674923415702472766e+02,3.898537270754402925e+03,9.101907204123854171e+04
2.466424542454245376e+18,7.246467891457598398e+01,7.965621750698820496e+10,1.097986730769169480e+08,5.663146379145402908e+08,7.389721651554613402e+01,7.674910120792004591e+02,3.898308461982628160e+03,9.103567715084366500e+04
