n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility,Alloy Disorder Barrier Penetration,Alloy Disorder Only Channel
8.127027027027027200e+17,1.017151645503267900e+02,1.506660790129169655e+10,2.201076747698962688e+07,1.071158142485464364e+08,1.033627559680177512e+02,8.932468292012561035e+10,6.538536761290872164e+03,2.690465696659231326e+05,2.912295847877583667e+19,1.033627559680177512e+02
8.136936936936936960e+17,1.016737382071983546e+02,1.509417411334826660e+10,2.204912467713144422e+07,1.073117958038860857e+08,1.033207773658136688e+02,8.932468292012561035e+10,6.535038880947901816e+03,2.695388234526476590e+05,2.912295847877583667e+19,1.033207773658136688e+02
8.146846846846846720e+17,1.016323787289368141e+02,1.512175711685371780e+10,2.208750321376726776e+07,1.075078967377700061e+08,1.032788668755224251e+02,8.932468292012561035e+10,6.531546387457828132e+03,2.700313770866735140e+05,2.912295847877583667e+19,1.032788668755224251e+02
8.156756756756756480e+17,1.015910859273474358e+02,1.514935690159227943e+10,2.212590307436796278e+07,1.077041169775694609e+08,1.032370243039791262e+02,8.932468292012561035e+10,6.528059267954585266e+03,2.705242303855765495e+05,2.912295847877583667e+19,1.032370243039791404e+02
8.166666666666666240e+17,1.015498596149895008e+02,1.517697345736681938e+10,2.216432424642789736e+07,1.079004564507880211e+08,1.031952494588006175e+02,8.932468292012561035e+10,6.524577509609001027e+03,2.710173831672646920e+05,2.912295847877583667e+19,1.031952494588006033e+02
8.176576576576577280e+17,1.015086996051723531e+02,1.520460677399876785e+10,2.220276671746230125e+07,1.080969150850613713e+08,1.031535421483811632e+02,8.932468292012561035e+10,6.521101099628737757e+03,2.715108352499780012e+05,2.912295847877583667e+19,1.031535421483811632e+02
8.186486486486487040e+17,1.014676057119515775e+02,1.523225684132807159e+10,2.224123047500969097e+07,1.082934928081566542e+08,1.031119021818886381e+02,8.932468292012561035e+10,6.517630025258199566e+03,2.720045864522869815e+05,2.912295847877583667e+19,1.031119021818886381e+02
8.196396396396396800e+17,1.014265777501250341e+02,1.525992364921311569e+10,2.227971550663021207e+07,1.084901895479723066e+08,1.030703293692601790e+02,8.932468292012561035e+10,6.514164273778445931e+03,2.724986365930914180e+05,2.912295847877583667e+19,1.030703293692601790e+02
8.206306306306306560e+17,1.013856155352290074e+02,1.528760718753071594e+10,2.231822179990627617e+07,1.086870052325375527e+08,1.030288235211983618e+02,8.932468292012561035e+10,6.510703832507103471e+03,2.729929854916197946e+05,2.912295847877583667e+19,1.030288235211983618e+02
8.216216216216216320e+17,1.013447188835345116e+02,1.531530744617597198e+10,2.235674934244234115e+07,1.088839397900120616e+08,1.029873844491670809e+02,8.932468292012561035e+10,6.507248688798305011e+03,2.734876329674280714e+05,2.912295847877583667e+19,1.029873844491670809e+02
8.226126126126126080e+17,1.013038876120434111e+02,1.534302441506233025e+10,2.239529812186444178e+07,1.090809931486854106e+08,1.029460119653876546e+02,8.932468292012561035e+10,6.503798830042579539e+03,2.739825788403987535e+05,2.912295847877583667e+19,1.029460119653876546e+02
8.236036036036035840e+17,1.012631215384847536e+02,1.537075808412143707e+10,2.243386812582134083e+07,1.092781652369768769e+08,1.029047058828349037e+02,8.932468292012561035e+10,6.500354243666800357e+03,2.744778229307400179e+05,2.912295847877583667e+19,1.029047058828348895e+02
8.245945945945945600e+17,1.012224204813108770e+02,1.539850844330313110e+10,2.247245934198248014e+07,1.094754559834349155e+08,1.028634660152330724e+02,8.932468292012561035e+10,6.496914917134067764e+03,2.749733650589845493e+05,2.912295847877583667e+19,1.028634660152330724e+02
8.255855855855855360e+17,1.011817842596938277e+02,1.542627548257536697e+10,2.251107175804025307e+07,1.096728653167369515e+08,1.028222921770520770e+02,8.932468292012561035e+10,6.493480837943647202e+03,2.754692050459887250e+05,2.912295847877583667e+19,1.028222921770520770e+02
8.265765765765766400e+17,1.011412126935216094e+02,1.545405919192416573e+10,2.254970536170763522e+07,1.098703931656887084e+08,1.027811841835035693e+02,8.932468292012561035e+10,6.490051993630858306e+03,2.759653427129315678e+05,2.912295847877583667e+19,1.027811841835035693e+02
8.275675675675676160e+17,1.011007056033944878e+02,1.548185956135358047e+10,2.258836014072026685e+07,1.100680394592240602e+08,1.027401418505370856e+02,8.932468292012561035e+10,6.486628371767035787e+03,2.764617778813139303e+05,2.912295847877583667e+19,1.027401418505370856e+02
8.285585585585585920e+17,1.010602628106214098e+02,1.550967658088556862e+10,2.262703608283497021e+07,1.102658041264045835e+08,1.026991649948362095e+02,8.932468292012561035e+10,6.483209959959398475e+03,2.769585103729566908e+05,2.912295847877583667e+19,1.026991649948362095e+02
8.295495495495495680e+17,1.010198841372162946e+02,1.553751024056007767e+10,2.266573317582908273e+07,1.104636870964191109e+08,1.026582534338148349e+02,8.932468292012561035e+10,6.479796745850977459e+03,2.774555400100014522e+05,2.912295847877583667e+19,1.026582534338148349e+02
8.305405405405405440e+17,1.009795694058945656e+02,1.556536053043485641e+10,2.270445140750322118e+07,1.106616882985834330e+08,1.026174069856133144e+02,8.932468292012561035e+10,6.476388717120538786e+03,2.779528666149081546e+05,2.912295847877583667e+19,1.026174069856133144e+02
8.315315315315315200e+17,1.009393184400693997e+02,1.559322744058545303e+10,2.274319076567828283e+07,1.108598076623398811e+08,1.025766254690947505e+02,8.932468292012561035e+10,6.472985861482488872e+03,2.784504900104544358e+05,2.912295847877583667e+19,1.025766254690947505e+02
8.325225225225224960e+17,1.008991310638483014e+02,1.562111096110516548e+10,2.278195123819604144e+07,1.110580451172569543e+08,1.025359087038412298e+02,8.932468292012561035e+10,6.469588166686783552e+03,2.789484100197351654e+05,2.912295847877583667e+19,1.025359087038412298e+02
8.335135135135134720e+17,1.008590071020294658e+02,1.564901108210500336e+10,2.282073281292109191e+07,1.112564005930289775e+08,1.024952565101501420e+02,8.932468292012561035e+10,6.466195620518860778e+03,2.794466264661608147e+05,2.912295847877583667e+19,1.024952565101501278e+02
8.345045045045045760e+17,1.008189463800983958e+02,1.567692779371361160e+10,2.285953547773713619e+07,1.114548740194756240e+08,1.024546687090305142e+02,8.932468292012561035e+10,6.462808210799511471e+03,2.799451391734573990e+05,2.912295847877583667e+19,1.024546687090305142e+02
8.354954954954955520e+17,1.007789487242242927e+02,1.570486108607721519e+10,2.289835922055086121e+07,1.116534653265416771e+08,1.024141451221993009e+02,8.932468292012561035e+10,6.459425925384848597e+03,2.804439479656644980e+05,2.912295847877583667e+19,1.024141451221993009e+02
8.364864864864865280e+17,1.007390139612566600e+02,1.573281094935956192e+10,2.293720402928897738e+07,1.118521744442965835e+08,1.023736855720778181e+02,8.932468292012561035e+10,6.456048752166167105e+03,2.809430526671349653e+05,2.912295847877583667e+19,1.023736855720778181e+02
8.374774774774775040e+17,1.006991419187217929e+02,1.576077737374192619e+10,2.297606989189969376e+07,1.120510013029340804e+08,1.023332898817880761e+02,8.932468292012561035e+10,6.452676679069883903e+03,2.814424531025344040e+05,2.912295847877583667e+19,1.023332898817880761e+02
8.384684684684684800e+17,1.006593324248194108e+02,1.578876034942296791e+10,2.301495679635214806e+07,1.122499458327718824e+08,1.022929578751491704e+02,8.932468292012561035e+10,6.449309694057441448e+03,2.819421490968387807e+05,2.912295847877583667e+19,1.022929578751491704e+02
8.394594594594594560e+17,1.006195853084192038e+02,1.581675986661877060e+10,2.305386473063575849e+07,1.124490079642511904e+08,1.022526893766737999e+02,8.932468292012561035e+10,6.445947785125224073e+03,2.824421404753351235e+05,2.912295847877583667e+19,1.022526893766737857e+02
8.404504504504504320e+17,1.005799003990574931e+02,1.584477591556272507e+10,2.309279368276137114e+07,1.126481876279365569e+08,1.022124842115646146e+02,8.932468292012561035e+10,6.442590940304458854e+03,2.829424270636201254e+05,2.912295847877583667e+19,1.022124842115646146e+02
8.414414414414414080e+17,1.005402775269337923e+02,1.587280848650548363e+10,2.313174364076068625e+07,1.128474847545152307e+08,1.021723422057107769e+02,8.932468292012561035e+10,6.439239147661140123e+03,2.834430086875979905e+05,2.912295847877583667e+19,1.021723422057107769e+02
